"Date","Holiday.Name","Day"
1894-01-01,"New Years Day","Monday"
1894-01-02,"Day after New Years Day","Tuesday"
1894-03-23,"Good Friday","Friday"
1894-03-26,"Easter Monday","Monday"
1894-12-25,"Christmas Day","Tuesday"
1894-12-26,"Boxing Day","Wednesday"
1895-01-01,"New Years Day","Tuesday"
1895-01-02,"Day after New Years Day","Wednesday"
1895-04-12,"Good Friday","Friday"
1895-04-15,"Easter Monday","Monday"
1895-12-25,"Christmas Day","Wednesday"
1895-12-26,"Boxing Day","Thursday"
1896-01-01,"New Years Day","Wednesday"
1896-01-02,"Day after New Years Day","Thursday"
1896-04-03,"Good Friday","Friday"
1896-04-06,"Easter Monday","Monday"
1896-12-25,"Christmas Day","Friday"
1896-12-26,"Boxing Day","Saturday"
1896-12-28,"Boxing Day (observed)","Monday"
1897-01-01,"New Years Day","Friday"
1897-01-02,"Day after New Years Day","Saturday"
1897-01-04,"Day after New Years Day (observed)","Monday"
1897-04-16,"Good Friday","Friday"
1897-04-19,"Easter Monday","Monday"
1897-12-25,"Christmas Day","Saturday"
1897-12-26,"Boxing Day","Sunday"
1897-12-27,"Christmas Day (observed)","Monday"
1897-12-28,"Boxing Day (observed)","Tuesday"
1898-01-01,"New Years Day","Saturday"
1898-01-02,"Day after New Years Day","Sunday"
1898-01-03,"New Years Day (observed)","Monday"
1898-01-04,"Day after New Years Day (observed)","Tuesday"
1898-04-08,"Good Friday","Friday"
1898-04-11,"Easter Monday","Monday"
1898-12-25,"Christmas Day","Sunday"
1898-12-26,"Boxing Day","Monday"
1898-12-27,"Christmas Day (observed)","Tuesday"
1899-01-01,"New Years Day","Sunday"
1899-01-02,"Day after New Years Day","Monday"
1899-01-03,"New Years Day (observed)","Tuesday"
1899-03-31,"Good Friday","Friday"
1899-04-03,"Easter Monday","Monday"
1899-12-25,"Christmas Day","Monday"
1899-12-26,"Boxing Day","Tuesday"
1900-01-01,"New Years Day","Monday"
1900-01-02,"Day after New Years Day","Tuesday"
1900-04-13,"Good Friday","Friday"
1900-04-16,"Easter Monday","Monday"
1900-10-10,"Labour Day","Wednesday"
1900-12-25,"Christmas Day","Tuesday"
1900-12-26,"Boxing Day","Wednesday"
1901-01-01,"New Years Day","Tuesday"
1901-01-02,"Day after New Years Day","Wednesday"
1901-04-05,"Good Friday","Friday"
1901-04-08,"Easter Monday","Monday"
1901-10-09,"Labour Day","Wednesday"
1901-12-25,"Christmas Day","Wednesday"
1901-12-26,"Boxing Day","Thursday"
1902-01-01,"New Years Day","Wednesday"
1902-01-02,"Day after New Years Day","Thursday"
1902-03-28,"Good Friday","Friday"
1902-03-31,"Easter Monday","Monday"
1902-10-08,"Labour Day","Wednesday"
1902-11-09,"Kings Birthday","Sunday"
1902-12-25,"Christmas Day","Thursday"
1902-12-26,"Boxing Day","Friday"
1903-01-01,"New Years Day","Thursday"
1903-01-02,"Day after New Years Day","Friday"
1903-04-10,"Good Friday","Friday"
1903-04-13,"Easter Monday","Monday"
1903-10-14,"Labour Day","Wednesday"
1903-11-09,"Kings Birthday","Monday"
1903-12-25,"Christmas Day","Friday"
1903-12-26,"Boxing Day","Saturday"
1903-12-28,"Boxing Day (observed)","Monday"
1904-01-01,"New Years Day","Friday"
1904-01-02,"Day after New Years Day","Saturday"
1904-01-04,"Day after New Years Day (observed)","Monday"
1904-04-01,"Good Friday","Friday"
1904-04-04,"Easter Monday","Monday"
1904-10-12,"Labour Day","Wednesday"
1904-11-09,"Kings Birthday","Wednesday"
1904-12-25,"Christmas Day","Sunday"
1904-12-26,"Boxing Day","Monday"
1904-12-27,"Christmas Day (observed)","Tuesday"
1905-01-01,"New Years Day","Sunday"
1905-01-02,"Day after New Years Day","Monday"
1905-01-03,"New Years Day (observed)","Tuesday"
1905-04-21,"Good Friday","Friday"
1905-04-24,"Easter Monday","Monday"
1905-10-11,"Labour Day","Wednesday"
1905-11-09,"Kings Birthday","Thursday"
1905-12-25,"Christmas Day","Monday"
1905-12-26,"Boxing Day","Tuesday"
1906-01-01,"New Years Day","Monday"
1906-01-02,"Day after New Years Day","Tuesday"
1906-04-13,"Good Friday","Friday"
1906-04-16,"Easter Monday","Monday"
1906-10-10,"Labour Day","Wednesday"
1906-11-09,"Kings Birthday","Friday"
1906-12-25,"Christmas Day","Tuesday"
1906-12-26,"Boxing Day","Wednesday"
1907-01-01,"New Years Day","Tuesday"
1907-01-02,"Day after New Years Day","Wednesday"
1907-03-29,"Good Friday","Friday"
1907-04-01,"Easter Monday","Monday"
1907-10-09,"Labour Day","Wednesday"
1907-11-09,"Kings Birthday","Saturday"
1907-12-25,"Christmas Day","Wednesday"
1907-12-26,"Boxing Day","Thursday"
1908-01-01,"New Years Day","Wednesday"
1908-01-02,"Day after New Years Day","Thursday"
1908-04-17,"Good Friday","Friday"
1908-04-20,"Easter Monday","Monday"
1908-10-14,"Labour Day","Wednesday"
1908-11-09,"Kings Birthday","Monday"
1908-12-25,"Christmas Day","Friday"
1908-12-26,"Boxing Day","Saturday"
1908-12-28,"Boxing Day (observed)","Monday"
1909-01-01,"New Years Day","Friday"
1909-01-02,"Day after New Years Day","Saturday"
1909-01-04,"Day after New Years Day (observed)","Monday"
1909-04-09,"Good Friday","Friday"
1909-04-12,"Easter Monday","Monday"
1909-10-13,"Labour Day","Wednesday"
1909-11-09,"Kings Birthday","Tuesday"
1909-12-25,"Christmas Day","Saturday"
1909-12-26,"Boxing Day","Sunday"
1909-12-27,"Christmas Day (observed)","Monday"
1909-12-28,"Boxing Day (observed)","Tuesday"
1910-01-01,"New Years Day","Saturday"
1910-01-02,"Day after New Years Day","Sunday"
1910-01-03,"New Years Day (observed)","Monday"
1910-01-04,"Day after New Years Day (observed)","Tuesday"
1910-03-25,"Good Friday","Friday"
1910-03-28,"Easter Monday","Monday"
1910-10-24,"Labour Day","Monday"
1910-11-09,"Kings Birthday","Wednesday"
1910-12-25,"Christmas Day","Sunday"
1910-12-26,"Boxing Day","Monday"
1910-12-27,"Christmas Day (observed)","Tuesday"
1911-01-01,"New Years Day","Sunday"
1911-01-02,"Day after New Years Day","Monday"
1911-01-03,"New Years Day (observed)","Tuesday"
1911-04-14,"Good Friday","Friday"
1911-04-17,"Easter Monday","Monday"
1911-10-23,"Labour Day","Monday"
1911-11-09,"Kings Birthday","Thursday"
1911-12-25,"Christmas Day","Monday"
1911-12-26,"Boxing Day","Tuesday"
1912-01-01,"New Years Day","Monday"
1912-01-02,"Day after New Years Day","Tuesday"
1912-04-05,"Good Friday","Friday"
1912-04-08,"Easter Monday","Monday"
1912-06-03,"Kings Birthday","Monday"
1912-10-28,"Labour Day","Monday"
1912-12-25,"Christmas Day","Wednesday"
1912-12-26,"Boxing Day","Thursday"
1913-01-01,"New Years Day","Wednesday"
1913-01-02,"Day after New Years Day","Thursday"
1913-03-21,"Good Friday","Friday"
1913-03-24,"Easter Monday","Monday"
1913-06-03,"Kings Birthday","Tuesday"
1913-10-27,"Labour Day","Monday"
1913-12-25,"Christmas Day","Thursday"
1913-12-26,"Boxing Day","Friday"
1914-01-01,"New Years Day","Thursday"
1914-01-02,"Day after New Years Day","Friday"
1914-04-10,"Good Friday","Friday"
1914-04-13,"Easter Monday","Monday"
1914-06-03,"Kings Birthday","Wednesday"
1914-10-26,"Labour Day","Monday"
