Date,Holiday Name
1894-01-01,New Year's Day
1894-01-02,Day after New Year's Day
1894-03-23,Good Friday
1894-03-26,Easter Monday
1894-12-25,Christmas Day
1894-12-26,Boxing Day
1895-01-01,New Year's Day
1895-01-02,Day after New Year's Day
1895-04-12,Good Friday
1895-04-15,Easter Monday
1895-12-25,Christmas Day
1895-12-26,Boxing Day
1896-01-01,New Year's Day
1896-01-02,Day after New Year's Day
1896-04-03,Good Friday
1896-04-06,Easter Monday
1896-12-25,Christmas Day
1896-12-26,Boxing Day
1896-12-28,Boxing Day (observed)
1897-01-01,New Year's Day
1897-01-02,Day after New Year's Day
1897-01-04,Day after New Year's Day (observed)
1897-04-16,Good Friday
1897-04-19,Easter Monday
1897-12-25,Christmas Day
1897-12-26,Boxing Day
1897-12-27,Christmas Day (observed)
1897-12-28,Boxing Day (observed)
1898-01-01,New Year's Day
1898-01-02,Day after New Year's Day
1898-01-03,New Year's Day (observed)
1898-01-04,Day after New Year's Day (observed)
1898-04-08,Good Friday
1898-04-11,Easter Monday
1898-12-25,Christmas Day
1898-12-26,Boxing Day
1898-12-27,Christmas Day (observed)
1899-01-01,New Year's Day
1899-01-02,Day after New Year's Day
1899-01-03,New Year's Day (observed)
1899-03-31,Good Friday
1899-04-03,Easter Monday
1899-12-25,Christmas Day
1899-12-26,Boxing Day
1900-01-01,New Year's Day
1900-01-02,Day after New Year's Day
1900-04-13,Good Friday
1900-04-16,Easter Monday
1900-10-10,Labour Day
1900-12-25,Christmas Day
1900-12-26,Boxing Day
1901-01-01,New Year's Day
1901-01-02,Day after New Year's Day
1901-04-05,Good Friday
1901-04-08,Easter Monday
1901-10-09,Labour Day
1901-12-25,Christmas Day
1901-12-26,Boxing Day
1902-01-01,New Year's Day
1902-01-02,Day after New Year's Day
1902-03-28,Good Friday
1902-03-31,Easter Monday
1902-10-08,Labour Day
1902-11-09,King's Birthday
1902-12-25,Christmas Day
1902-12-26,Boxing Day
1903-01-01,New Year's Day
1903-01-02,Day after New Year's Day
1903-04-10,Good Friday
1903-04-13,Easter Monday
1903-10-14,Labour Day
1903-11-09,King's Birthday
1903-12-25,Christmas Day
1903-12-26,Boxing Day
1903-12-28,Boxing Day (observed)
1904-01-01,New Year's Day
1904-01-02,Day after New Year's Day
1904-01-04,Day after New Year's Day (observed)
1904-04-01,Good Friday
1904-04-04,Easter Monday
1904-10-12,Labour Day
1904-11-09,King's Birthday
